FullID,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0630.1,RIMMA0630,1,NA,0,0,mays,MH,1,2220,2.66,2601480000,886665,819597,21423,2.613845585,67998670.13,599,0.073084699,1901283.826,3755,0.458151994,11918732.5,50200,6.124961414,159339646.2,21483,2.621166256,68189115.92,45585,5.561879802,144691190.7,564001,68.81442953,1790193621,142734,5460689.829,453051495.2,2531580046,2533481330,2599578716
RIMMA0657.1,RIMMA0657,1,NA,0,0,mays,SAH,1,2201,2.715,2655270000,837621,756828.3333,6626,0.875495764,23246776.38,1224,0.16172756,4294303.393,3389,0.447789789,11890027.94,89571,11.83504846,314252491.2,37452,4.948546236,131397263.6,43340.66667,5.726617881,152057166.6,524304,69.27647617,1839477489,132488,15132911.59,464823258.1,2627728920,2632023224,2650975697
RIMMA0658.1,RIMMA0658,1,NA,0,0,mays,SAH,1,1948,2.905,2841090000,1096760,1018195.5,15848,1.556479085,44220971.63,1915,0.18807783,5343460.416,5180,0.508743164,14453851.15,55624,5.46299802,155208690.4,22995,2.258407153,64163379.77,55569.5,5.457645413,155056618.1,705101,69.25006052,1967456545,176742,11355244.14,493166517.4,2791525568,2796869028,2835746540
RIMMA0661.1,RIMMA0661,1,NA,1,1,mays,SAH,1,2195,2.715,2655270000,1255875,1179537.167,11187,0.948422849,25183187.38,2035,0.172525297,4581012.454,5250,0.445089833,11818336.8,89277,7.568816187,200972505.6,35756,3.031358486,80490752.48,40581.83333,3.440487886,91354242.7,805811,68.31586344,1813970627,201466,21242212.82,453522484,2625505800,2630086813,2650688988
RIMMA0662.1,RIMMA0662,1,NA,0,0,mays,SAH,1,2195,2.74,2679720000,1138894,1033012,6222,0.602316333,16140391.24,1481,0.143367163,3841838.546,4705,0.455464215,12205165.67,113762,11.01265039,295108194.9,45467,4.401400952,117945221.6,60415,5.848431577,156721590.6,708290,68.56551521,1837363824,182522,30303345.59,473477417.3,2659737770,2663579609,2675878161
RIMMA0663.1,RIMMA0663,1,NA,0,0,mays,SAH,1,2067,2.71,2650380000,993813,906370.5,7059,0.778820582,20641704.93,1337,0.147511421,3909613.188,4954,0.5465756,14486330.39,93990,10.3699315,274842590.5,34946,3.855597683,102187989.9,52496.5,5.791947112,153508607.9,625203,68.97874545,1828198874,158903,20403030.4,464659135.7,2625828682,2629738295,2646470387
RIMMA0667.1,RIMMA0667,1,NA,0,0,mays,SAH,1,2201,2.895,2831310000,885229,807766.3333,7537,0.933066865,26418015.45,1526,0.188916019,5348798.138,4311,0.533693944,15110530,81881,10.13671858,287001926.8,30410,3.764702581,106590400.6,47052.66667,5.825034385,164924781,556925,68.94630006,1952083488,142342,15255283.99,498924393.6,2799543186,2804891985,2825961202
RIMMA0671.1,RIMMA0671,1,NA,0,0,mays,MH,1,2477,2.86,2797080000,982588,901595.5,58374,6.474522111,181097563.1,3739,0.414709257,11599749.69,2632,0.291926923,8165429.575,81186,9.004703329,251868755.9,31336,3.475616282,97215767.91,49656.5,5.507625094,154052680,606191,67.2353622,1880626869,169932,2624626.144,527191405.2,2604382687,2615982437,2785480250
RIMMA0674.1,RIMMA0674,1,NA,0,0,mays,MH,1,2652,2.7,2640600000,1687921,1563077,51267,3.279876807,86608426.97,5467,0.349758841,9235731.957,7650,0.489419267,12923605.17,93314,5.969891438,157640953.3,39758,2.543572709,67165580.97,85086,5.443493827,143740898,1072836,68.63615804,1812406389,275682,8405254.716,465726185.7,2544755841,2553991573,2631364268
RIMMA0680.1,RIMMA0680,1,NA,1,1,mays,MH,1,1890,3.175,3105150000,1145651,1052721.5,120250,11.42277421,354694273.4,8109,0.770289198,23918635.03,4776,0.453681244,14087483.16,107322,10.19471912,316561320.6,39624,3.763958464,116876556.2,53305.5,5.063589943,157232063.1,684516,65.02346537,2019076135,210150,1839745.723,619866956.7,2726537092,2750455727,3081231365
RIMMA0690.1,RIMMA0690,1,NA,0,0,mays,SAL,1,250,3.335,3261630000,1052951,972282.3333,74013,7.612295057,248284899.3,7072,0.727360743,23723816.19,3479,0.357817877,11670695.21,66957,6.886579927,224614756.9,28939,2.976398831,97079117.18,51729.66667,5.320436759,173532961.5,668308,68.73600158,2241914048,193081,2536436.102,647711843,2989621285,3013345101,3237906184
RIMMA0691.1,RIMMA0691,1,NA,0,0,mays,SAL,1,1098,3.03,2963340000,856688,792028.3333,97398,12.29728734,364410434.8,10901,1.376339651,40785623.42,2116,0.26716216,7916923.14,58095,7.334964869,217359947.9,25402,3.207208496,95040492.26,39257.66667,4.956598775,146880874.1,532789,67.26893188,1993407166,165856,1348720.212,620543102.3,2558143942,2598929565,2922554377
